2026-05-24 15:29:23.551576 | fetch_page | args: ('https://habr.com/ru/articles/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Все статьи подряд &#x2F; Хабр</title>\n<link rel="image_src" href="/img/habr_ru.png" data-hid="2a79c45">\n<link href="https://habr.com/ru/articles/" rel="canonical" data-hid="e3fa780">\n<link href="https://habr.com/ru/articles/" hreflang="ru... [truncated]
2026-05-24 15:29:23.582162 | parse_articles | args: ('<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Все статьи подряд &#x2F; Хабр</title>\n<link rel="image_src" href="/img/habr_ru.png" data-hid="2a79c45">\n<link href="https://habr.com/ru/articles/" rel="canonical" data-hid="e3fa780">\n<link href="https://habr.com/ru/articles/" hreflang="r... [truncated], kwargs: {} | result: [{'title': 'Дата-центры в космосе: как Google и SpaceX готовят новую инфраструктуру для ИИ', 'url': 'https://habr.com/ru/companies/selectel/articles/1036730/', 'date': '28 минут назад', 'preview': 'TrexSelectel 28 минут назад Дата-центры в космосе: как Google и SpaceX готовят новую инфраструктуру дл... [truncated]
2026-05-24 15:29:23.592417 | contains_keyword | args: ('TrexSelectel 28 минут назад Дата-центры в космосе: как Google и SpaceX готовят новую инфраструктуру для ИИ Время на прочтение 7 мин Охват и читатели 911 Блог компании Selectel Искусственный интеллект Космонавтика Читальный зал Развитие искусственного интеллекта требует всё больше вычислительных ре... [truncated], kwargs: {} | result: False
2026-05-24 15:29:24.218938 | fetch_page | args: ('https://habr.com/ru/companies/selectel/articles/1036730/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Дата-центры в космосе: как Google и SpaceX готовят новую инфраструктуру для ИИ &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" conten... [truncated]
2026-05-24 15:29:24.229470 | fetch_article_full_text | args: ('https://habr.com/ru/companies/selectel/articles/1036730/',), kwargs: {} | result: 'Источник. Развитие искусственного интеллекта требует всё больше вычислительных ресурсов. Каждая новая модель обучается на больших объёмах данных и использует всё более мощную инфраструктуру. Чтобы обеспечить этот рост, компании строят новые дата-центры, потребляющие огромные объёмы электроэнергии и... [truncated]
2026-05-24 15:29:24.229809 | contains_keyword | args: ('Источник. Развитие искусственного интеллекта требует всё больше вычислительных ресурсов. Каждая новая модель обучается на больших объёмах данных и использует всё более мощную инфраструктуру. Чтобы обеспечить этот рост, компании строят новые дата-центры, потребляющие огромные объёмы электроэнергии ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:24.229983 | contains_keyword | args: ('k0mar0v 1 час назад Google готовит замену Chromebook: какими будут ноутбуки Googlebook Время на прочтение 5 мин Охват и читатели 2.4K Блог компании МТС Ноутбуки IT-компании Компьютерное железо За последние полтора десятилетия Google сумел создать отдельный класс субноутбуков. Речь, конечно же, о C... [truncated], kwargs: {} | result: False
2026-05-24 15:29:25.081427 | fetch_page | args: ('https://habr.com/ru/companies/ru_mts/articles/1038272/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Google готовит замену Chromebook: какими будут ноутбуки Googlebook &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_l... [truncated]
2026-05-24 15:29:25.093867 | fetch_article_full_text | args: ('https://habr.com/ru/companies/ru_mts/articles/1038272/',), kwargs: {} | result: 'Источник За последние полтора десятилетия Google сумел создать отдельный класс субноутбуков. Речь, конечно же, о Chromebook. Они серьезно изменили наше представление о том, каким вообще может быть ноутбук для повседневных задач, и прижились благодаря своей простоте, скорости работы и низкой цене, о... [truncated]
2026-05-24 15:29:25.094170 | contains_keyword | args: ('Источник За последние полтора десятилетия Google сумел создать отдельный класс субноутбуков. Речь, конечно же, о Chromebook. Они серьезно изменили наше представление о том, каким вообще может быть ноутбук для повседневных задач, и прижились благодаря своей простоте, скорости работы и низкой цене, ... [truncated], kwargs: {} | result: True
2026-05-24 15:29:25.094328 | contains_keyword | args: ('flancer 2 часа назад Пользователь пишет issue, агент меняет сайт. Да, я это сделал Время на прочтение 2 мин Охват и читатели 4.6K Веб-разработка * Искусственный интеллект Три месяца назад, в феврале, я написал комментарий , что LLM-агенты могут обновлять кодовую базу по тикетам конечных пользовате... [truncated], kwargs: {} | result: False
